"Consumption of fuels in electricity generation, TJ by type of power plants, type of fuel and year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"main activity producers CHP plants, heat only production",coke oven gas,203,280,211,272,203,191,314,161,181,154,113,208,146,240,366,412,282,120,242,74,134,350,95,39,142,103,126,164
"main activity producers CHP plants, heat only production",blast furnace gas incl. LD-gas,1407,1636,1898,1651,1206,1448,2397,1796,2394,2585,1830,3150,3029,4117,4391,4661,3235,2873,3328,1514,1765,2723,2087,1667,2011,1589,1864,2421
"main activity producers CHP plants, heat only production","black liquor, spent liquor, tall oil and pitch oil ",0,0,0,0,0,0,0,0,0,0,0,1,0,39,2,8,34,15,61,26,7,9,6,1,0,0,0,0
"main activity producers CHP plants, heat only production",liquid petroleum gas (LPG),0,0,29,65,112,245,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",nuclear fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,170,152,0,173,121,259,290,265,224,113,86,98,320,136,406,258
"main activity producers CHP plants, heat only production",other fuels,0,0,0,0,7,7,20,0,92,0,0,926,16,46,311,0,164,99,180,127,120,237,84,53,303,210,86,91
"main activity producers CHP plants, heat only production",sum of fuels,2103,3085,2982,3356,7790,3574,9643,4167,3653,4012,3086,5256,7731,13126,9729,6196,5692,4652,6287,3677,3771,8693,4402,3427,4146,2529,2880,3081
"main activity producers CHP plants, heat only production",surplus steam,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",sum of fuels and steam,2103,3091,2982,3356,7790,3574,9643,4167,3653,4012,3086,5256,7731,13126,9729,6196,5692,4652,6287,3677,3771,8693,4402,3427,4146,2529,2880,3081
"main activity producers CHP plants, heat only production",condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
condensing power plants,no. 1 Fuel oil,0,0,574,98,96,14,0,51,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,no. 2 Fuel oil,0,0,0,0,0,0,588,25,66,0,0,0,0,170,177,95,259,885,202,57,474,38,215,39,35,112,0,0
condensing power plants,no. 2 and 3 Fuel oil,0,0,13,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,no. 3-5 Fuel oil,0,0,0,0,0,0,19374,2113,431,176,410,334,3522,5407,294,1136,2364,0,961,1174,1886,254,325,98,19,35,118,58
condensing power plants,no. 4 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,no 5 and heavier Fuel oils,251,105,2181,1403,1763,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,hard coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,peat and peat briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,wood briquettes and pellets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,"wood chips, wood waste, saw dust, et. Al",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,diesel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,gas from biomass and organic waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,coke oven gas,181,144,114,78,41,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,blast furnace gas incl. LD-gas,490,503,377,297,171,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,"black liquor, spent liquor, tall oil and pitch oil ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,liquid petroleum gas (LPG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,nuclear fuel,728634,822396,677800,655876,782455,746328,808026,742103,785599,768746,597119,771271,722501,716623,818052,755209,683067,661919,673076,539704,598826,602820,647318,661952,650167,559443,639996,643415
condensing power plants,municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,other fuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,sum of fuels,729557,823148,681058,657752,784526,747940,835520,744293,786096,768923,597530,771605,726023,722203,818537,756440,685690,662803,674239,540934,601187,603113,647858,662090,650222,559590,640114,643473
condensing power plants,surplus steam,252,364,378,529,416,477,544,544,507,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,sum of fuels and steam,729809,823512,681436,658282,784942,748417,836063,744837,786603,769272,597530,771605,726023,722203,818537,756440,685690,662803,674239,540934,601187,603113,647858,662090,650222,559590,640114,643473
condensing power plants,condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
gas-turbines (for reserve),no. 1 Fuel oil,170,164,222,891,189,123,216,102,117,162,522,334,399,1369,90,371,150,289,236,214,227,132,138,93,98,111,83,90
gas-turbines (for reserve),no. 2 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),no. 2 and 3 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),no. 3-5 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
gas-turbines (for reserve),no. 4 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),no 5 and heavier Fuel oils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),hard coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),peat and peat briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),wood briquettes and pellets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),"wood chips, wood waste, saw dust, et. Al",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),kerosene,13,42,16,21,25,92,15,10,5,6,0,33,19,147,13,18,37,44,21,34,76,13,18,26,14,19,15,28
gas-turbines (for reserve),diesel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),gas from biomass and organic waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),coke oven gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),blast furnace gas incl. LD-gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),"black liquor, spent liquor, tall oil and pitch oil ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),liquid petroleum gas (LPG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),nuclear fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),other fuels,555,698,1062,882,891,720,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,2,10,0,7,5,5,6
gas-turbines (for reserve),sum of fuels,738,903,1300,1794,1106,936,231,112,121,168,522,367,418,1516,103,389,187,334,262,249,309,147,165,119,118,134,116,124
gas-turbines (for reserve),surplus steam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),sum of fuels and steam,738,903,1300,1794,1106,936,231,112,121,168,522,367,418,1516,103,389,187,334,262,249,309,147,165,119,118,134,116,124
gas-turbines (for reserve),condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
other cycles,no. 1 Fuel oil,12,5,9,4,7,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,3,23,26,..,..,54,..
other cycles,no. 2 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,no. 2 and 3 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,no. 3-5 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,no. 4 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,no 5 and heavier Fuel oils,3,3,4,1,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,hard coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,peat and peat briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,wood briquettes and pellets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,"wood chips, wood waste, saw dust, et. Al",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
other cycles,kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,diesel oil,2,3,4,6,3,3,7,7,5,9,13,6,8,5,4,4,5,4,3,3,0,0,0,0,..,..,..,4
other cycles,natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,gas from biomass and organic waste,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
other cycles,coke oven gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,blast furnace gas incl. LD-gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,"black liquor, spent liquor, tall oil and pitch oil ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,liquid petroleum gas (LPG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,nuclear fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
other cycles,other fuels,0,0,0,0,13,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,sum of fuels,18,10,16,12,548,139,7,7,6,9,50,6,9,6,5,5,6,5,4,3,4,6,23,26,36,11,59,4
other cycles,surplus steam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,sum of fuels and steam,18,10,16,12,548,139,7,7,6,9,50,6,9,6,5,5,6,5,4,3,4,6,23,26,36,11,59,4
other cycles,condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
sum,no. 1 Fuel oil,186,478,1303,1432,1943,2315,4562,1659,2260,1940,1125,907,1559,3325,770,626,258,374,346,328,1129,840,418,226,265,335,487,261
sum,no. 2 Fuel oil,0,0,0,0,0,0,675,40,137,669,59,1145,862,1104,806,574,608,1263,535,638,1047,325,504,302,301,295,188,150
sum,no. 2 and 3 Fuel oil,6,1,15,87,77,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,no. 3-5 Fuel oil,0,0,0,0,0,0,40433,17588,15515,12536,6501,9941,13448,17567,7253,6196,7762,4278,4503,4321,6449,2703,2303,1415,941,572,928,756
sum,no. 4 Fuel oil,304,342,305,339,311,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,no 5 and heavier Fuel oils,5016,9045,11578,13136,18605,15880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,hard coal,5257,7847,8314,9515,12862,10114,21802,9516,9859,10562,7879,9636,11747,14739,5854,3320,4647,3827,2357,2674,3591,2939,2402,3409,1923,1835,1214,1514
sum,peat and peat briquettes,328,528,541,857,450,785,745,441,291,178,254,244,408,887,3834,2329,2265,2269,3487,2425,2969,2747,1852,1517,882,681,862,767
sum,wood briquettes and pellets,0,0,0,0,62,505,246,114,66,235,937,740,413,794,2745,3160,2523,2206,2472,3902,4561,2704,2290,2073,1111,798,950,844
sum,"wood chips, wood waste, saw dust, et. Al",3949,4152,4399,4597,4436,5523,6025,6799,7899,6887,6272,9671,9420,11811,15408,16861,18458,18974,20145,20915,24969,25131,24796,23530,19446,20797,22613,21103
sum,kerosene,13,42,16,21,25,92,15,10,5,6,0,33,19,147,27,18,37,44,21,34,77,14,18,26,14,19,15,28
sum,diesel oil,2,3,6,7,3,3,7,7,6,9,13,6,11,5,4,4,5,4,13,6,4,6,6,1,..,..,5,4
sum,natural gas,1690,2110,3027,3860,3547,3029,2623,2739,2333,2173,2061,1715,2759,3568,3100,2272,2461,4887,2505,5926,10449,8823,4821,4928,2828,2345,3188,1270
sum,gas from biomass and organic waste,0,0,0,0,0,0,224,207,96,80,205,101,136,147,175,144,152,194,96,111,105,104,91,87,54,39,40,43
sum,coke oven gas,498,561,446,462,380,405,473,451,462,465,328,475,742,559,647,718,437,557,541,290,479,722,216,186,385,554,387,511
sum,blast furnace gas incl. LD-gas,2826,3073,3275,2990,2383,2754,3783,4831,5250,6217,5169,5288,5932,7414,8313,8701,4868,6441,7122,2816,5900,5298,3565,3026,3474,3888,3415,4442
sum,"black liquor, spent liquor, tall oil and pitch oil ",3762,2910,4333,3582,3950,3612,3483,4826,5244,4823,9509,5798,8012,9024,10445,10570,11062,12234,15002,17119,18748,17189,18119,17197,..,..,19116,23511
sum,liquid petroleum gas (LPG),443,130,367,330,544,476,316,89,89,52,14,6,16,0,0,0,14,13,30,220,152,119,72,63,36,103,260,293
sum,nuclear fuel,728634,822396,677800,655876,782455,746328,808026,742103,785599,768746,597119,771271,722501,716623,818052,755209,683067,661919,673076,539704,598826,602820,647318,661952,650167,559443,639996,643415
sum,municipal solid waste,521,444,385,495,451,514,543,474,737,602,720,1077,1385,1844,3981,4959,5656,5101,8481,8374,10825,11811,10708,11444,11142,11737,13093,14047
sum,other fuels,897,1647,2083,2285,2564,1930,519,508,1507,2311,1598,1562,921,872,2163,1967,3386,1446,1992,2959,5039,4097,3402,2680,3185,2947,3187,4267
sum,sum of fuels,754334,855710,718193,699871,835048,794777,894501,792272,837353,818490,639605,818688,780291,790431,883576,817629,747666,726031,742993,612760,695320,688394,722901,734061,713916,624742,709958,717226
sum,surplus steam,674,796,806,1147,1067,1185,851,544,507,0,0,76,0,129,245,156,75,273,0,0,0,0,0,0,0,0,0,0
sum,sum of fuels and steam,755008,856506,718999,701018,836114,795962,895351,792816,837860,818490,639763,818764,780291,790560,883820,817785,747741,726304,742993,612760,695320,688394,722901,734061,713916,624742,709958,717226
sum,condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
